CMA-ES 
 Population =  30 
 Mutants =  20 

Epochs 		 Cost 		
930 		 0.10053122182394797 		
935 		 0.10047129416351445 		
940 		 0.10042678203363851 		
945 		 0.1003967502851044 		
950 		 0.10038360716671627 		
955 		 0.10038152634167734 		
960 		 0.10038124261477337 		
965 		 0.10038097436290615 		
970 		 0.10038049218920639 		
975 		 0.10037965091897252 		
980 		 0.10037767273717584 		
985 		 0.10037418584828295 		
990 		 0.10037269156913842 		
995 		 0.10037048375784845 		
1000 		 0.1003646235964223 		
1005 		 0.10035327282471955 		
1010 		 0.10033298353845525 		
1015 		 0.1003290426334546 		
1020 		 0.10032836650219475 		
1025 		 0.10032737316872803 		
1030 		 0.10032529150462267 		
1035 		 0.10032417275320812 		
1040 		 0.10032358297486393 		
1045 		 0.10032202933363744 		
1050 		 0.10031605083720171 		
1055 		 0.10030482190788606 		
